#{"t_start": 1620663403.6765835, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
27.0,30,462.209527
27.0,30,462.487262
27.0,30,462.76851
32.0,36,463.101645
32.0,35,463.424767
27.0,30,463.705507
27.0,30,463.983763
72.0,104,464.94845
27.0,30,465.225834
32.0,35,465.548156
27.0,30,465.825423
26.0,29,466.08174
27.0,30,466.357267
27.0,30,466.63358
91.0,212,468.612456
32.0,35,468.934605
114.0,174,470.571348
26.0,29,470.827693
75.0,140,472.127234
77.0,156,473.588049
74.0,105,474.556482
27.0,30,474.828808
28.0,31,475.108658
27.0,30,475.381932
27.0,30,475.655729
27.0,30,475.936977
27.0,30,476.220242
120.0,247,478.528516
27.0,30,478.806872
27.0,30,479.087132
27.0,30,479.364406
92.0,229,481.489539
27.0,30,481.764804
70.0,132,482.988556
27.0,31,483.282907
27.0,30,483.559165
27.0,30,483.833991
27.0,30,484.113272
27.0,30,484.389605
27.0,30,484.662895
27.0,30,484.941193
27.0,30,485.216465
27.0,30,485.492269
77.0,166,487.035854
26.0,29,487.305124
27.0,30,487.580429
27.0,30,487.859118
27.0,30,488.136377
27.0,30,488.414698
27.0,30,488.692993
27.0,30,488.97327
27.0,30,489.249536
27.0,30,489.524371
27.0,30,489.799614
27.0,30,490.079843
27.0,30,490.354153
27.0,30,490.629466
27.0,30,490.908904
27.0,30,491.185746
27.0,30,491.46458
27.0,30,491.741882
27.0,30,492.025102
27.0,30,492.309342
27.0,30,492.586607
27.0,30,492.865912
27.0,30,493.145165
27.0,30,493.422928
27.0,30,493.699193
27.0,30,493.97945
27.0,30,494.253337
27.0,30,494.526661
27.0,30,494.803934
27.0,30,495.084184
27.0,30,495.358067
27.0,30,495.632136
27.0,30,495.909884
27.0,30,496.183185
27.0,30,496.459448
27.0,30,496.739702
27.0,30,497.016989
69.0,187,498.74553
27.0,30,499.024771
27.0,30,499.298136
27.0,30,499.574305
27.0,30,499.85257
27.0,30,500.131397
27.0,30,500.406689
27.0,30,500.682477
27.0,30,500.957783
27.0,30,501.234045
27.0,30,501.50938
27.0,30,501.783646
27.0,30,502.06195
27.0,30,502.341269
27.0,30,502.618549
27.0,30,502.900794
27.0,30,503.178102
27.0,30,503.453394
27.0,30,503.731648
27.0,30,504.01188
27.0,30,504.287708
27.0,30,504.564013
27.0,30,504.838279
27.0,30,505.114565
27.0,30,505.386848
27.0,30,505.660161
27.0,30,505.934945
27.0,30,506.210252
27.0,30,506.484531
27.0,30,506.761787
27.0,30,507.041061
27.0,30,507.319357
27.0,30,507.595635
27.0,30,507.870904
27.0,30,508.157166
27.0,30,508.438386
27.0,30,508.71365
27.0,30,508.991926
27.0,30,509.271206
27.0,30,509.547437
27.0,30,509.825721
27.0,30,510.103977
27.0,30,510.380255
27.0,30,510.6565
27.0,30,510.937341
27.0,30,511.213675
27.0,30,511.488094
27.0,30,511.76544
27.0,30,512.043723
27.0,30,512.322577
27.0,30,512.598879
27.0,30,512.878131
27.0,30,513.155361
27.0,30,513.433711
27.0,30,513.712148
27.0,30,513.989546
27.0,30,514.265811
27.0,30,514.541057
27.0,30,514.819347
27.0,30,515.092745
27.0,30,515.368034
27.0,30,515.642329
27.0,30,515.921287
27.0,30,516.197526
27.0,30,516.474819
27.0,30,516.752077
27.0,30,517.031331
27.0,30,517.307592
27.0,30,517.583887
27.0,30,517.862186
27.0,30,518.140475
27.0,30,518.418703
27.0,30,518.694064
27.0,30,518.973358
27.0,30,519.245755
27.0,30,519.522137
27.0,30,519.79641
69.0,157,521.244345
32.0,35,521.568517
27.0,30,521.845927
27.0,30,522.121188
27.0,30,522.397506
27.0,30,522.673756
27.0,30,522.949026
27.0,30,523.22432
27.0,30,523.503024
27.0,30,523.775363
27.0,30,524.057606
27.0,30,524.344879
27.0,30,524.62067
27.0,30,524.899939
27.0,30,525.177249
27.0,30,525.454509
27.0,30,525.731767
27.0,30,526.008028
27.0,30,526.2803
27.0,30,526.559554
27.0,30,526.836887
27.0,30,527.116168
27.0,30,527.394091
27.0,30,527.672398
27.0,30,527.951654
27.0,30,528.227935
27.0,30,528.501287
27.0,30,528.776116
27.0,30,529.05438
27.0,30,529.331639
27.0,30,529.60954
27.0,30,529.888843
