#{"t_start": 1620623953.4428375, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
251.0,17,691.589274
247.0,18,692.531727
241.0,21,693.6368
762.0,134,700.094455
610.0,60,703.125214
243.0,20,704.197481
238.0,21,705.23426
237.0,21,706.387711
243.0,20,707.300413
239.0,20,708.402491
242.0,19,709.224293
1081.0,243,721.760743
239.0,20,722.645955
240.0,19,723.5222
240.0,22,724.609826
616.0,145,731.499162
1081.0,135,737.830265
634.0,200,747.390026
232.0,23,748.497133
237.0,20,749.538839
239.0,20,750.433741
239.0,21,751.557316
237.0,21,752.488204
238.0,20,753.700833
239.0,21,754.643055
239.0,21,755.797068
239.0,20,756.853815
239.0,21,757.913233
233.0,22,759.206882
240.0,22,760.510428
239.0,20,761.619123
648.0,52,764.721219
648.0,52,767.399899
667.0,116,773.506235
249.0,18,774.476737
239.0,21,775.61224
239.0,21,776.585354
258.0,18,777.446085
239.0,20,778.590632
1081.0,124,786.60029
239.0,20,787.996751
239.0,20,789.092985
627.0,95,794.293494
239.0,21,795.492622
1082.0,220,807.173996
239.0,20,808.349525
758.0,105,813.960517
1081.0,228,826.389497
647.0,77,830.438148
611.0,51,833.239068
843.0,159,841.9718
244.0,20,843.172458
646.0,150,851.761632
1081.0,203,862.658813
239.0,21,863.83529
242.0,19,864.842875
241.0,21,866.029901
239.0,21,867.02775
240.0,19,868.180837
247.0,17,869.05535
245.0,21,870.052613
243.0,20,871.203618
843.0,148,878.940441
242.0,20,880.071918
239.0,20,881.035188
238.0,21,882.219718
1071.0,146,890.221924
239.0,21,891.427696
239.0,20,892.409752
667.0,88,897.045692
239.0,21,898.219783
1072.0,96,903.596751
237.0,21,904.76281
239.0,21,905.747888
760.0,173,915.111259
235.0,21,916.340261
246.0,19,917.289285
1082.0,92,922.166651
238.0,21,923.395844
241.0,20,924.678413
241.0,21,925.784037
239.0,21,926.997835
627.0,63,930.412876
241.0,21,931.415291
1082.0,110,937.50622
239.0,20,938.654698
1354.0,136,946.144162
240.0,20,947.404855
239.0,21,948.68395
1081.0,224,961.951484
239.0,20,962.963405
239.0,20,964.140783
239.0,20,965.09729
606.0,58,968.215117
239.0,20,969.361321
793.0,608,1003.358553
239.0,20,1004.572358
239.0,21,1005.8553
238.0,20,1007.030672
239.0,20,1008.123299
239.0,20,1009.28048
241.0,21,1010.289507
239.0,21,1011.580863
648.0,56,1014.691656
243.0,20,1015.646104
241.0,20,1016.899638
239.0,20,1017.93002
815.0,101,1023.107474
239.0,21,1024.310229
636.0,59,1027.65727
667.0,119,1033.637607
239.0,20,1034.550719
249.0,18,1035.574494
239.0,21,1036.489283
239.0,21,1037.58482
239.0,21,1038.518322
239.0,20,1039.611344
249.0,18,1040.45044
667.0,78,1044.728694
239.0,20,1045.840261
241.0,20,1046.971272
239.0,21,1048.090595
239.0,21,1049.044211
239.0,20,1050.153827
239.0,21,1051.138188
610.0,135,1058.389025
239.0,20,1059.588338
243.0,20,1060.535834
814.0,157,1069.273079
240.0,20,1070.248024
255.0,17,1071.136474
243.0,20,1072.371192
239.0,20,1073.378008
609.0,118,1080.109567
239.0,20,1081.253001
241.0,21,1082.2274
246.0,19,1083.531425
239.0,20,1084.522509
245.0,18,1085.39772
614.0,106,1091.064438
639.0,68,1094.497612
243.0,20,1095.630162
241.0,20,1096.554692
248.0,17,1097.392243
239.0,20,1098.511311
634.0,89,1103.036824
242.0,20,1104.003383
255.0,17,1105.027258
239.0,20,1105.954971
239.0,20,1107.050123
1081.0,267,1120.791711
239.0,20,1121.734267
243.0,20,1122.837804
241.0,21,1123.992231
241.0,21,1125.082107
239.0,20,1126.248641
239.0,20,1127.207078
237.0,23,1128.419872
636.0,62,1131.646119
243.0,20,1132.567308
239.0,20,1133.688768
239.0,20,1134.621922
250.0,18,1135.679684
1079.0,232,1147.581845
236.0,22,1148.98103
239.0,20,1150.256153
667.0,101,1155.307345
646.0,91,1160.339276
239.0,20,1161.277762
239.0,20,1162.396973
230.0,22,1163.535983
239.0,20,1164.477869
241.0,19,1165.376312
248.0,19,1166.476368
1081.0,148,1174.046787
239.0,20,1175.172689
251.0,17,1176.061323
239.0,20,1177.001812
239.0,21,1178.166292
667.0,96,1183.12251
240.0,23,1184.379405
239.0,21,1185.612418
632.0,81,1189.785228
239.0,20,1190.744997
242.0,19,1191.825099
843.0,80,1195.966652
843.0,181,1205.348275
243.0,20,1206.595492
632.0,74,1210.521089
239.0,20,1211.493959
240.0,20,1212.694273
239.0,21,1213.881541
744.0,74,1217.696889
239.0,21,1218.72862
767.0,495,1245.138449
239.0,20,1246.353667
242.0,20,1247.300122
223.0,23,1248.613122
239.0,20,1249.778055
239.0,20,1250.71349
244.0,20,1251.863371
239.0,20,1252.840835
239.0,21,1254.018676
239.0,20,1254.975125
255.0,17,1255.850138
651.0,57,1259.008311
241.0,21,1259.981939
240.0,19,1261.119807
236.0,22,1262.118349
843.0,89,1266.777321
245.0,16,1267.610661
239.0,20,1268.770007
236.0,21,1269.93824
239.0,20,1270.9715
239.0,21,1272.35256
241.0,20,1273.428258
244.0,19,1274.640747
241.0,20,1276.020308
239.0,21,1277.517868
241.0,20,1278.757843
667.0,88,1284.271529
753.0,146,1291.951159
251.0,17,1293.064093
667.0,80,1298.348876
241.0,21,1299.711574
239.0,21,1301.11325
239.0,21,1302.162153
240.0,19,1303.350796
241.0,20,1304.388305
240.0,20,1305.699072
239.0,21,1306.68109
604.0,62,1310.040751
241.0,20,1311.222686
238.0,21,1312.194633
241.0,20,1313.369994
239.0,21,1314.331009
241.0,20,1315.55128
1352.0,122,1323.08442
241.0,20,1324.681145
243.0,20,1325.697938
239.0,22,1326.948163
238.0,21,1328.243787
241.0,20,1329.273806
241.0,20,1330.454571
238.0,22,1331.48868
239.0,20,1332.684936
241.0,20,1333.650386
239.0,21,1334.829703
241.0,20,1335.818133
843.0,87,1340.453438
241.0,21,1341.636761
240.0,21,1342.829081
239.0,20,1343.796088
748.0,215,1355.296641
667.0,79,1359.591958
239.0,21,1360.60483
244.0,20,1361.782685
608.0,61,1365.215819
247.0,17,1366.138237
241.0,20,1367.160625
241.0,20,1368.373753
242.0,19,1369.361626
237.0,20,1370.582189
238.0,22,1371.680249
843.0,215,1383.565369
1081.0,75,1387.816607
237.0,21,1388.829984
239.0,21,1390.073679
667.0,85,1394.746629
239.0,21,1395.982394
239.0,20,1397.221812
631.0,57,1400.258946
241.0,20,1401.258191
238.0,21,1402.455546
241.0,20,1403.44249
239.0,20,1404.918627
241.0,20,1406.531473
241.0,20,1408.142883
241.0,20,1409.366997
236.0,21,1410.805003
843.0,98,1416.401176
241.0,20,1417.647427
654.0,150,1425.810787
241.0,20,1427.053932
644.0,91,1432.053741
242.0,21,1433.313392
634.0,61,1436.955768
238.0,20,1438.082981
239.0,21,1439.491513
638.0,52,1442.352124
241.0,22,1443.614282
843.0,84,1448.176602
239.0,21,1449.418156
241.0,20,1450.656357
613.0,65,1454.278626
619.0,53,1457.16363
667.0,82,1462.384487
241.0,20,1463.462972
241.0,20,1464.870251
843.0,186,1475.881023
238.0,20,1476.858225
241.0,21,1478.108147
789.0,194,1488.858519
246.0,19,1490.074363
246.0,20,1491.056732
611.0,59,1494.231598
244.0,21,1495.481656
241.0,20,1496.710448
247.0,18,1497.670272
237.0,20,1498.665661
641.0,52,1501.697923
240.0,16,1502.593726
1614.0,131,1510.884818
241.0,20,1512.306046
249.0,19,1513.453041
245.0,15,1514.531441
242.0,19,1515.626007
241.0,20,1517.104592
243.0,16,1518.157341
245.0,15,1519.281291
632.0,52,1522.282917
1351.0,261,1537.914502
241.0,20,1538.923873
652.0,41,1541.23542
246.0,17,1542.416842
240.0,16,1543.320273
239.0,17,1544.239855
667.0,1003,1609.990268
242.0,19,1611.138634
625.0,134,1619.919842
1080.0,229,1635.371093
242.0,19,1636.651493
238.0,20,1638.125477
246.0,16,1639.086543
245.0,15,1640.006636
756.0,69,1644.026531
240.0,21,1645.417665
240.0,19,1646.481966
255.0,17,1647.479739
251.0,15,1648.403439
251.0,15,1649.354226
251.0,15,1650.288387
246.0,16,1651.27528
246.0,15,1652.239844
251.0,15,1653.252757
249.0,16,1654.299632
251.0,15,1655.274096
1370.0,240,1670.875799
247.0,15,1671.594425
242.0,19,1673.122858
245.0,15,1674.153987
245.0,15,1675.399187
241.0,20,1676.790009
245.0,15,1677.758422
251.0,15,1678.664277
241.0,16,1679.602794
251.0,15,1680.501102
251.0,15,1681.44061
245.0,15,1682.102937
245.0,15,1683.03122
246.0,16,1683.96572
248.0,16,1684.970509
245.0,15,1685.956435
245.0,15,1686.876065
245.0,15,1687.833309
245.0,15,1688.773833
1095.0,155,1698.554021
245.0,15,1699.536502
245.0,15,1700.535566
1456.0,199,1712.646045
251.0,15,1713.554616
242.0,16,1714.505867
251.0,16,1715.448211
251.0,15,1716.372251
247.0,17,1717.416061
245.0,15,1718.359159
246.0,16,1719.294906
243.0,16,1720.252958
245.0,15,1720.929698
651.0,50,1724.15809
251.0,15,1725.172052
242.0,18,1726.23772
246.0,15,1727.258789
246.0,15,1728.219241
1070.0,95,1733.695388
251.0,15,1734.627391
246.0,19,1735.924122
251.0,15,1736.868113
251.0,15,1737.524366
1072.0,107,1744.26204
247.0,16,1745.229921
237.0,18,1746.244224
241.0,20,1747.769106
245.0,15,1748.721569
245.0,15,1750.256017
245.0,15,1751.388376
251.0,15,1752.408648
243.0,16,1753.442103
245.0,16,1754.449518
843.0,159,1764.522245
251.0,15,1765.492472
251.0,15,1766.436944
1460.0,224,1781.49617
251.0,15,1782.447918
247.0,16,1783.474488
246.0,15,1784.207592
251.0,15,1785.295676
251.0,15,1786.294894
251.0,15,1787.411326
245.0,15,1788.49665
251.0,15,1789.577288
240.0,19,1790.743476
248.0,15,1791.827567
251.0,15,1792.829498
240.0,20,1794.377328
253.0,14,1795.761389
240.0,19,1797.243413
251.0,15,1798.038352
248.0,19,1799.814752
251.0,15,1801.069415
251.0,15,1802.279819
245.0,15,1803.401567
642.0,46,1807.217816
1095.0,75,1813.274956
240.0,17,1814.629233
240.0,17,1815.991281
251.0,15,1817.222232
251.0,15,1818.413724
251.0,15,1819.247533
251.0,15,1820.618179
667.0,69,1826.236165
246.0,15,1827.658218
635.0,89,1834.572793
250.0,16,1835.83606
243.0,18,1837.098794
243.0,16,1838.317886
242.0,16,1839.693294
251.0,15,1841.104759
251.0,15,1842.398967
251.0,15,1843.736175
240.0,19,1845.395781
605.0,75,1852.068631
250.0,17,1853.466667
237.0,20,1854.973159
638.0,79,1861.615963
843.0,74,1867.003211
843.0,120,1875.645572
251.0,15,1876.816315
251.0,15,1878.11346
1061.0,75,1884.091612
246.0,15,1885.366873
243.0,19,1887.155557
640.0,56,1891.664438
247.0,15,1892.955584
251.0,15,1893.790086
247.0,15,1895.040326
251.0,15,1896.306902
652.0,39,1899.465705
248.0,16,1900.753512
248.0,16,1902.030795
251.0,15,1903.29645
251.0,15,1904.543642
246.0,15,1905.797264
636.0,62,1911.042465
1364.0,351,1939.810196
246.0,15,1941.085424
1091.0,63,1946.367752
1071.0,86,1953.445133
251.0,15,1954.713344
251.0,15,1955.991011
251.0,15,1956.834304
241.0,20,1958.664012
251.0,15,1959.934689
843.0,87,1967.284912
248.0,15,1968.575686
251.0,15,1969.42714
251.0,15,1970.692085
843.0,74,1977.077638
251.0,15,1977.945555
249.0,16,1979.299694
619.0,38,1982.637911
1374.0,86,1989.795861
251.0,15,1991.068893
245.0,15,1992.341854
252.0,16,1993.656553
250.0,16,1994.988051
251.0,15,1996.283459
251.0,15,1997.117389
239.0,19,1998.941236
249.0,14,2000.185351
843.0,96,2008.19005
249.0,17,2009.529618
810.0,105,2018.512269
246.0,15,2019.783525
250.0,15,2021.092815
253.0,14,2021.927146
245.0,15,2023.214981
251.0,15,2024.513539
1173.0,63,2029.893043
251.0,15,2031.19379
239.0,18,2032.574667
251.0,15,2033.872981
248.0,16,2035.194958
251.0,15,2036.496285
843.0,73,2042.627927
644.0,45,2046.637585
239.0,19,2048.101007
251.0,15,2049.471772
251.0,15,2050.782158
1376.0,158,2064.204632
255.0,16,2065.5875
843.0,70,2071.463953
251.0,15,2072.739042
251.0,15,2074.023212
251.0,15,2075.311325
251.0,14,2076.586477
248.0,16,2077.90828
251.0,15,2078.743562
251.0,15,2080.024686
251.0,15,2081.300739
251.0,15,2082.569273
667.0,36,2085.831275
251.0,15,2086.74586
251.0,15,2088.077982
247.0,16,2089.480604
248.0,15,2090.78252
843.0,224,2109.378625
630.0,38,2112.603256
253.0,14,2113.857773
253.0,14,2114.680618
250.0,16,2115.990021
253.0,16,2117.304221
667.0,42,2121.094248
843.0,68,2126.486405
251.0,15,2127.795687
251.0,15,2129.098922
778.0,63,2134.424816
248.0,15,2135.739077
251.0,15,2137.047247
249.0,14,2137.935613
1462.0,96,2145.987135
